cod,nombre,prov,reg,sup,pobl,dens,idh
7305,Rauco,Curicó,Maule,309.0,9878,27.7,659.0
7306,Romeral,Curicó,Maule,1597.0,14460,7.9,668.0
7307,Sagrada Familia,Curicó,Maule,548.8,17839,31.9,672.0
7308,Teno,Curicó,Maule,618.4,28228,45.6,648.0
7309,Vichuquén,Curicó,Maule,426.0,4335,11.5,678.0
7401,Linares,Linares,Maule,1466.0,107311,73.1,0.71
7402,Colbún,Linares,Maule,2900.0,19361,6.0,638.0
7403,Longaví,Linares,Maule,1454.0,28968,19.3,626.0
7404,Parral,Linares,Maule,1638.0,39404,23.2,656.0
7405,Retiro,Linares,Maule,827.0,18760,22.0,649.0
7406,San Javier,Linares,Maule,1313.0,40881,31.0,654.0
7407,Villa Alegre,Linares,Maule,190.0,15428,77.5,648.0
7408,Yerbas Buenas,Linares,Maule,262.0,17158,61.5,0.64
8416,San Carlos,Punilla,Ñuble,874.0,51335,58.7,653.0
8417,San Fabián,Punilla,Ñuble,1568.3,3503,2.2,618.0
8405,Coihueco,Punilla,Ñuble,1776.6,24714,13.9,639.0
8409,Ñiquén,Punilla,Ñuble,493.1,10063,20.4,629.0
8419,San Nicolás,Punilla,Ñuble,490.5,10051,20.5,625.0
8402,Bulnes,Diguillín,Ñuble,425.4,21542,50.6,626.0
8401,Chillán,Diguillín,Ñuble,511.2,175585,343.5,714.0
8406,Chillán Viejo,Diguillín,Ñuble,291.8,29199,100.1,732.0
8407,El Carmen,Diguillín,Ñuble,664.3,11830,17.8,611.0
8410,Pemuco,Diguillín,Ñuble,562.7,9120,16.2,631.0
8411,Pinto,Diguillín,Ñuble,1164.0,10883,9.3,618.0
8413,Quillón,Diguillín,Ñuble,423.0,15525,36.7,0.59
8418,San Ignacio,Diguillín,Ñuble,363.6,15770,43.4,618.0
8421,Yungay,Diguillín,Ñuble,823.5,18234,22.1,669.0
8414,Quirihue,Itata,Ñuble,589.0,11851,20.1,594.0
8403,Cobquecura,Itata,Ñuble,570.3,5173,9.1,633.0
8404,Coelemu,Itata,Ñuble,342.3,15461,45.2,611.0
8408,Ninhue,Itata,Ñuble,401.2,5278,13.2,569.0
8412,Portezuelo,Itata,Ñuble,282.3,5061,17.9,599.0
8415,Ránquil,Itata,Ñuble,248.3,4983,20.1,586.0
8420,Treguaco,Itata,Ñuble,313.1,4995,16.0,562.0
8101,Concepción,Concepción,Biobío,221.6,227768,1027.8,757.0
